player_name,batting_average,strike_rate
RG Sharma (IND),32.05,140.89
Babar Azam (PAK),39.83,129.22
V Kohli (IND),48.69,137.04
PR Stirling (IRE),27.07,134.87
MJ Guptill (NZ),31.81,135.7
Mohammad Rizwan (PAK),47.41,125.37
JC Buttler (ENG),35.67,147.02
DA Warner (AUS),33.43,142.47
AJ Finch (AUS),34.28,142.53
GJ Maxwell (AUS),29.93,154.97
DA Miller (SA/World),33.21,140.66
Q de Kock (SA),31.51,138.32
KS Williamson (NZ),33.44,123.08
SA Yadav (IND),40.79,167.86
Shakib Al Hasan (BAN),23.19,121.18
Muhammad Waseem (UAE),39.29,155.53
Mohammad Hafeez (PAK),26.46,122.03
EJG Morgan (ENG),28.58,136.17
Mahmudullah (BAN),23.5,117.38
Virandeep Singh (MAS),36.98,126.01
Shoaib Malik (ICC/PAK),31.21,125.64
A Balbirnie (IRE),23.45,123.23
Sikandar Raza (ZIM),26.07,137.17
Syed Aziz (MAS),31.27,143.67
N Pooran (WI),26.14,136.39
RR Hendricks (SA),30.28,131.72
KL Rahul (IND),37.75,139.12
Mohammad Nabi (AFG),22.59,136.23
RD Berrington (SCOT),31.4,131.48
S Ssesazi (UGA),29,123.19
BB McCullum (NZ),35.66,136.21
HG Munsey (SCOT),31.01,144.2
AD Hales (ENG),30.95,138.35
MDKJ Perera (SL),28.16,134.11
Nizakat Khan (HKG),22.81,123
Mohammad Shahzad (AFG),29.25,132.12
MP O'Dowd (NED),29.05,120.56
Litton Das (BAN),22.44,124.76
KJ O'Brien (IRE),21.21,130.92
JP Duminy (SA),38.68,126.24
GD Phillips (NZ),31.11,140.59
BKG Mendis (SL),25.6,131.68
Babar Hayat (HKG),29.38,132.27
LRPL Taylor (NZ),26.15,122.37
R Sandaruwan (KUW),28.04,146.8
CH Gayle (WI),27.92,137.5
DJ Malan (ENG),36.38,132.49
TM Dilshan (SL),28.19,120.54
Fakhar Zaman (PAK),22.81,132.94
Najibullah Zadran (AFG),29.51,137.8
Muhammad Tanveer (QAT),43.43,136.47
S Dhawan (IND),27.92,126.36
Tamim Iqbal (BAN/ICC/World),24.08,116.96
R Powell (WI),25.69,140.32
CO Obuya (KENYA),30.03,119.31
P Nissanka (SL),29.89,120.41
DS Airee (NEP),34.5,143.39
C Munro (NZ),31.34,156.44
HH Pandya (IND),27.86,141.9
SC Williams (ZIM),23.48,126.38
Umar Akmal (PAK),26,122.73
Rahmanullah Gurbaz (AFG),25.5,134.42
AB de Villiers (SA),26.12,135.16
JM Bairstow (ENG),29.83,137.53
H Masakadza (ZIM),25.96,117.2
E Lewis (WI),29.33,151.98
TP Ura (PNG),32.03,152.99
MR Marsh (AUS),31.94,135.41
RR Patel (KENYA),30.07,140.6
MS Chapman (HKG/NZ),27.4,131.89
MS Dhoni (IND),37.6,126.13
MN Samuels (WI),29.29,116.23
SK Raina (IND),29.18,134.87
Ahmed Faiz (MAS),25.23,123.63
Meet Bhavsar (KUW),28.35,129.52
KA Pollard (WI),25.3,135.14
MG Erasmus (NAM),32.43,124.16
F du Plessis (SA/World),35.53,134.38
LMP Simmons (WI),26.78,120.8
JJ Roy (ENG),24.15,137.61
Mushfiqur Rahim (BAN),19.48,115.03
BA King (WI),26.76,134.07
KJ Coetzer (SCOT),22.65,119.21
DPMD Jayawardene (SL),31.76,133.18
Riazat Ali Shah (UGA),32.26,120.45
Ahmed Shehzad (PAK),25.8,114.74
Soumya Sarkar (BAN),17.82,122.13
SR Watson (AUS),29.24,145.32
MD Shanaka (SL),19.67,122.45
CR Ervine (ZIM),21.95,105.76
II Selemani (TAN),24.58,148.07
K Kadowaki-Fleming (JPN),45.8,152.52
AD Mathews (SL),27.76,120.51
Shahid Afridi (ICC/PAK),17.92,150
DJ Mitchell (NZ),26.62,139.28
DP Conway (NZ),38.05,127.76
Haider Butt (BHR),31.28,121.27
Faisal Khan (KSA),31.86,172.02
Asghar Afghan (AFG),21.93,110.82
KC Sangakkara (SL),31.4,119.55
HT Tector (IRE),22.2,118.7
Zeeshan Maqsood (OMA),26.32,119.14
AK Markram (SA),30.37,143.89
J Charles (WI),23.03,131.43
Sami Sohail (MWI),56.12,123.35
Aqib Ilyas (OMA),27.7,121.79
RP Burl (ZIM),24.57,119.01
O Tuyisenge (RWN),17.18,104.09
K Motlhanka (BOT),28.63,108.48
LJ Tucker (IRE),21.24,123.31
RK Paudel (NEP),28.47,122.08
K Bhurtel (NEP),28.21,128.64
IA Karim (KENYA),34.89,100.31
TL Seifert (NZ),25.31,134.75
JW Jenner (JER),31.41,138.19
HM Amla (SA/World),33.6,132.05
A Vala (PNG),24.98,116.55
GC Wilson (IRE),21.13,104.62
Jatinder Singh (OMA),23.38,116.08
HE van der Dussen (SA),33.97,129.45
AR Patwa (TAN),26.72,121.47
DJ Bravo (WI),22.01,115.03
Abdul Waheed (KSA),32.92,126.1
MH Cross (SCOT),23.14,115.84
KIC Asalanka (SL),24.45,128.55
Aasif Sheikh (NEP),23.94,115.49
MP Stoinis (AUS),31.92,148.56
BN Cooper (NED),28.15,124.77
CS MacLeod (SCOT),23.8,111.03
MM Ali (ENG),21.18,142.41
RR Pant (IND),23.25,127.26
VP Thamotharam (MLT),26.86,146.54
NLTC Perera (ICC/SL/World),23.15,151.63
MS Wade (AUS),26.13,134.15
TH David (AUS/SGP),33.36,161.2
R Satheesan (ROM),38.61,155.45
W Madhevere (ZIM),19.57,116.14
RG Mukasa (UGA),23.25,120.77
Zubaidi Zulkifle (MAS),21.12,144.44
Yuvraj Singh (IND),28.02,136.38
KP Pietersen (ENG),37.93,141.51
GH Dockrell (IRE),20.17,130.43
Hazratullah Zazai (AFG),27.61,132.72
S Davizi (CZK-R),41.03,138.93
FH Allen (NZ),24.27,158.69
D Ndikubwimana (RWN),16.49,80.02
Afif Hossain (BAN),20.3,119.08
PD Salt (ENG),36.86,165.32
Ibrahim Zadran (AFG),29.07,107.28
SS Iyer (IND),30.66,136.12
Anshuman Rath (HKG),24.4,110.35
O Manishimwe (RWN),18.89,94.89
SPD Smith (AUS),24.86,125.45
TM Head (AUS),33.12,160.49
Taranjeet Singh (ROM),36.23,167.48
WTS Porterfield (IRE),20.35,111.12
GJ Delany (IRE),20.69,134.16
Usman Patel (KUW),27.43,130.96
L Bruce (GIBR),28.83,113.02
SI Runsewe (NGA),22.61,113.93
AD Russell (WI),22.14,164.04
LD Chandimal (SL),19.66,103.6
S Chandramohan (SGP),25.75,121.1
BA Pai (GIBR),35.13,115.19
RN Patel (KENYA),23.95,120.59
V Aravind (UAE),27.68,112.39
Sarfaraz Ali (BHR),21.42,145.42
N Nipiko (VAN),31.24,118.77
CJA Amini (PNG),24.47,115.37
E Dusingizimana (RWN),18.03,106.41
I Liyanage (QAT),28.52,119.97
HAM Shah (DEN),34.2,121.42
DM Nakrani (UGA),25.6,125.49
SA Edwards (NED),21.72,125.89
Samiullah Shinwari (AFG),22.02,118.06
Rohan Mustafa (UAE),20.95,121.64
F Damiao Couana (MOZ),31.4,125.62
Asif Khan (UAE),29.52,133.33
H Klaasen (SA),23.25,141.84
Iftikhar Ahmed (PAK),24.34,129.1
AP Rajeevan (TAN),26.97,114.05
Razmal Shigiwal (Aut),33,136.55
Kamran Akmal (PAK),21,119.63
A Sharafu (UAE),30.81,133.6
ADS Fletcher (WI),19.68,110.31
CL White (AUS),32.8,132.97
GC Smith (SA),31.67,127.53
NS Dhaliwal (CAN),31.51,126.39
Sabbir Rahman (BAN),23.26,119.29
Shaiman Anwar (UAE),33.48,126.1
Aizaz Khan (HKG),16.55,110.72
Najmul Hossain Shanto (BAN),22.85,108.35
S Bau (PNG),23.36,109.36
Gulbadin Naib (AFG),20.54,121.93
JDS Neesham (NZ),22.47,154.5
SO Hetmyer (WI),20.04,118.49
JJ Smit (NAM),33.53,143.14
Zeeshan Khan (MLT),22.85,120.59
BRM Taylor (ZIM),23.94,118.22
G Gambhir (IND),27.41,119.02
Kushal Malla (NEP),27.78,147.66
SJ Myburgh (NED),21.78,114.51
Sohail Ahmed (BHR),39.3,118.63
S Muniandy (MAS),17.32,116.25
C Campher (IRE),20.88,126.12
E Chigumbura (ZIM),19,140.62
JE Root (ENG),35.72,126.3
Muhammad Usman (UAE),24.08,114.52
Luqman Butt (CAM),38.43,144.68
G Malla (NEP),23.23,120.29
N Davin (NAM),27.53,138.95
